# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
1669690293, 0, 0, 5, 5, 5, 0.64%, 0, 0, 1, 3333.33
1669690298, 0, 0, 75, 75, 5, 1.11%, 0, 0, 2, 4502.60
1669690303, 0, 1, 208, 207, 14, 2.10%, 2, 0, 2, 4689.47
1669690308, 0, 2, 349, 347, 79, 2.64%, 2, 0, 2, 4622.52
1669690313, 0, 68, 483, 480, 147, 2.91%, 2, 0, 3, 4583.96
1669690318, 0, 73, 556, 552, 177, 2.98%, 2, 0, 3, 4575.12
1669690323, 0, 73, 648, 644, 177, 3.29%, 2, 0, 3, 4470.59
1669690328, 0, 82, 692, 685, 197, 3.42%, 2, 0, 3, 4644.49
1669690333, 0, 84, 704, 696, 203, 3.46%, 3, 0, 3, 4729.00
1669690339, 0, 88, 718, 709, 202, 3.48%, 3, 0, 3, 4774.70
1669690344, 0, 99, 725, 711, 203, 3.49%, 3, 0, 3, 4781.83
1669690349, 0, 104, 740, 723, 207, 3.52%, 3, 0, 3, 4775.09
1669690354, 0, 108, 759, 740, 219, 3.62%, 3, 0, 3, 4748.39
1669690359, 0, 108, 768, 749, 219, 3.63%, 4, 0, 3, 4734.24
1669690364, 0, 114, 796, 774, 222, 3.75%, 5, 0, 3, 4636.74
1669690369, 0, 122, 832, 808, 235, 3.84%, 5, 0, 3, 4542.75
1669690374, 0, 122, 861, 837, 235, 3.88%, 6, 0, 3, 4520.77
1669690379, 0, 123, 879, 854, 246, 3.94%, 7, 0, 3, 4531.55
1669690384, 0, 123, 887, 862, 246, 3.97%, 7, 0, 3, 4672.74
1669690389, 0, 134, 904, 878, 252, 4.05%, 8, 0, 3, 4615.74
1669690394, 0, 143, 919, 890, 256, 4.11%, 8, 0, 3, 4482.36
1669690399, 0, 143, 944, 915, 256, 4.12%, 8, 0, 3, 4505.77
1669690405, 0, 180, 958, 921, 262, 4.17%, 8, 0, 3, 4595.67
1669690410, 0, 181, 978, 940, 268, 4.17%, 9, 0, 3, 4626.48
1669690415, 0, 206, 992, 952, 268, 4.19%, 9, 0, 3, 4501.74
1669690420, 0, 212, 1031, 989, 280, 4.23%, 9, 0, 3, 4467.37
1669690425, 0, 225, 1036, 991, 280, 4.25%, 9, 0, 3, 4560.99
1669690430, 0, 225, 1046, 1001, 280, 4.26%, 11, 0, 3, 4582.76
1669690435, 0, 230, 1056, 1009, 282, 4.27%, 13, 0, 3, 4570.43
1669690440, 0, 230, 1074, 1027, 282, 4.32%, 14, 0, 3, 4588.48
1669690445, 0, 237, 1082, 1033, 285, 4.39%, 14, 0, 3, 4571.08
1669690450, 0, 237, 1096, 1047, 285, 4.42%, 15, 0, 3, 4565.32
1669690456, 0, 238, 1109, 1059, 292, 4.45%, 15, 0, 3, 4544.06
1669690461, 0, 238, 1116, 1066, 292, 4.49%, 15, 0, 3, 4452.90
1669690466, 0, 247, 1116, 1062, 293, 4.49%, 15, 0, 3, 4499.94
1669690471, 0, 251, 1133, 1078, 292, 4.53%, 16, 0, 3, 4582.39
1669690476, 0, 253, 1140, 1084, 300, 4.56%, 16, 0, 3, 4613.72
1669690481, 0, 256, 1146, 1087, 298, 4.59%, 16, 0, 3, 4616.91
1669690486, 0, 258, 1155, 1095, 301, 4.63%, 17, 0, 3, 4559.02
1669690491, 0, 267, 1159, 1096, 303, 4.64%, 17, 0, 3, 4592.27
1669690496, 0, 267, 1165, 1102, 303, 4.64%, 17, 0, 3, 4573.55
1669690501, 0, 272, 1172, 1107, 304, 4.65%, 18, 0, 3, 4493.35
1669690506, 0, 277, 1179, 1111, 305, 4.66%, 18, 0, 3, 4475.82
1669690511, 0, 291, 1188, 1118, 304, 4.67%, 18, 0, 3, 4522.24
1669690516, 0, 312, 1195, 1121, 304, 4.68%, 18, 0, 3, 4542.77
1669690522, 0, 317, 1214, 1139, 305, 4.70%, 18, 0, 3, 4514.50
1669690527, 0, 325, 1233, 1157, 310, 4.71%, 18, 0, 3, 4527.81
