# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
1669705265, 0, 0, 10, 10, 3, 0.73%, 0, 0, 1, 2000.00
1669705270, 0, 1, 24, 24, 3, 0.85%, 0, 0, 2, 2230.48
1669705276, 0, 1, 25, 25, 3, 1.10%, 0, 0, 2, 2281.43
1669705281, 0, 10, 30, 28, 13, 1.16%, 0, 0, 3, 2295.92
1669705286, 0, 14, 34, 31, 15, 1.17%, 0, 0, 3, 2275.79
1669705291, 0, 14, 36, 33, 15, 1.22%, 0, 0, 3, 2231.95
1669705296, 0, 14, 38, 35, 15, 1.23%, 0, 0, 3, 2282.88
1669705301, 0, 18, 39, 34, 16, 1.23%, 0, 0, 3, 2320.73
1669705306, 0, 19, 39, 33, 15, 1.23%, 0, 0, 3, 2371.73
1669705311, 0, 22, 40, 32, 14, 1.23%, 0, 0, 3, 2384.54
1669705316, 0, 24, 48, 38, 14, 1.26%, 0, 0, 3, 2297.41
1669705321, 0, 24, 56, 46, 14, 1.35%, 0, 0, 3, 2217.59
1669705327, 0, 29, 61, 49, 25, 1.36%, 0, 0, 4, 2283.83
1669705332, 0, 32, 65, 50, 26, 1.39%, 0, 0, 4, 2294.32
1669705337, 0, 34, 75, 59, 26, 1.44%, 0, 0, 4, 2271.19
1669705342, 0, 34, 78, 62, 26, 1.45%, 0, 0, 4, 2238.47
1669705347, 0, 34, 84, 68, 26, 1.46%, 0, 0, 4, 2264.95
1669705352, 0, 40, 87, 68, 32, 1.48%, 0, 0, 4, 2330.11
1669705357, 0, 42, 92, 71, 34, 1.50%, 0, 0, 4, 2311.02
1669705362, 0, 43, 92, 70, 32, 1.50%, 0, 0, 4, 2288.52
1669705367, 0, 45, 92, 69, 31, 1.50%, 0, 0, 4, 2200.57
1669705372, 0, 46, 92, 68, 30, 1.50%, 0, 0, 4, 2230.71
1669705377, 0, 48, 92, 67, 29, 1.50%, 0, 0, 4, 2231.10
1669705382, 0, 49, 92, 66, 28, 1.50%, 0, 0, 4, 2269.39
1669705387, 0, 50, 95, 68, 30, 1.51%, 0, 0, 4, 2371.51
1669705393, 0, 51, 95, 67, 29, 1.51%, 0, 0, 4, 2280.23
1669705403, 0, 52, 95, 66, 28, 1.51%, 0, 0, 4, 2228.74
1669705408, 0, 53, 96, 66, 28, 1.52%, 0, 0, 4, 2238.79
1669705413, 0, 55, 96, 65, 27, 1.52%, 0, 0, 4, 2214.71
1669705418, 0, 57, 106, 73, 25, 1.60%, 0, 0, 5, 2257.43
1669705423, 0, 57, 115, 82, 25, 1.62%, 0, 0, 5, 2272.27
1669705428, 0, 57, 120, 87, 25, 1.63%, 0, 0, 5, 2287.50
1669705433, 0, 57, 123, 90, 25, 1.63%, 0, 0, 5, 2279.24
1669705438, 0, 61, 124, 89, 38, 1.63%, 0, 0, 5, 2335.24
1669705444, 0, 61, 128, 93, 38, 1.65%, 0, 0, 5, 2289.50
1669705449, 0, 61, 129, 94, 38, 1.65%, 0, 0, 5, 2277.43
1669705454, 0, 62, 130, 94, 41, 1.65%, 0, 0, 5, 2306.65
1669705459, 0, 67, 140, 102, 40, 1.66%, 0, 0, 5, 2296.33
1669705464, 0, 67, 146, 108, 40, 1.67%, 0, 0, 5, 2244.06
1669705469, 0, 67, 148, 110, 40, 1.67%, 0, 0, 5, 2191.96
1669705474, 0, 68, 151, 112, 47, 1.67%, 0, 0, 5, 2186.45
1669705479, 0, 73, 157, 117, 47, 1.67%, 0, 0, 5, 2240.88
1669705484, 0, 73, 161, 121, 47, 1.67%, 0, 0, 5, 2258.67
1669705490, 0, 73, 162, 122, 47, 1.67%, 0, 0, 5, 2298.63
1669705495, 0, 78, 164, 122, 47, 1.67%, 0, 0, 5, 2314.12
1669705500, 0, 80, 166, 123, 46, 1.68%, 0, 0, 5, 2355.91
1669705505, 0, 85, 166, 121, 46, 1.68%, 0, 0, 5, 2359.42
1669705510, 0, 86, 168, 122, 45, 1.69%, 0, 0, 5, 2383.01
1669705520, 0, 88, 170, 122, 46, 1.74%, 0, 0, 5, 2356.57
1669705525, 0, 91, 170, 119, 44, 1.74%, 0, 0, 5, 2282.16
1669705530, 0, 91, 173, 122, 44, 1.75%, 0, 0, 5, 2241.77
1669705535, 0, 92, 174, 122, 46, 1.75%, 0, 0, 5, 2348.19
1669705540, 0, 93, 175, 122, 46, 1.76%, 0, 0, 5, 2359.95
1669705546, 0, 94, 175, 121, 46, 1.76%, 0, 0, 5, 2305.80
1669705551, 0, 95, 176, 121, 46, 1.76%, 0, 0, 5, 2262.92
1669705556, 0, 96, 176, 120, 45, 1.76%, 0, 0, 5, 2285.72
1669705561, 0, 97, 176, 119, 44, 1.76%, 0, 0, 5, 2301.22
1669705566, 0, 98, 176, 118, 43, 1.76%, 0, 0, 5, 2278.34
1669705571, 0, 99, 181, 122, 42, 1.78%, 0, 0, 6, 2286.13
1669705576, 0, 99, 184, 125, 42, 1.78%, 0, 0, 6, 2275.83
1669705581, 0, 99, 185, 126, 42, 1.78%, 0, 0, 6, 2274.13
1669705587, 0, 101, 186, 126, 46, 1.78%, 0, 0, 6, 2281.35
1669705592, 0, 102, 187, 126, 45, 1.78%, 0, 0, 6, 2289.32
1669705597, 0, 103, 187, 125, 45, 1.78%, 0, 0, 6, 2296.61
1669705602, 0, 104, 188, 125, 44, 1.79%, 0, 0, 6, 2274.49
1669705607, 0, 105, 189, 125, 44, 1.79%, 0, 0, 6, 2311.85
1669705612, 0, 106, 191, 126, 43, 1.79%, 0, 0, 6, 2311.61
1669705617, 0, 106, 193, 128, 43, 1.79%, 0, 0, 6, 2284.79
1669705622, 0, 108, 194, 128, 44, 1.79%, 0, 0, 6, 2299.52
1669705627, 0, 112, 195, 127, 42, 1.79%, 0, 0, 6, 2271.74
1669705632, 0, 112, 198, 130, 42, 1.79%, 0, 0, 6, 2262.76
1669705637, 0, 113, 198, 129, 42, 1.79%, 0, 0, 6, 2264.63
1669705642, 0, 115, 198, 128, 41, 1.79%, 0, 0, 6, 2270.52
1669705648, 0, 128, 204, 131, 38, 1.83%, 0, 0, 6, 2297.54
1669705653, 0, 128, 218, 145, 38, 1.91%, 0, 0, 6, 2308.54
1669705658, 0, 128, 223, 150, 38, 1.93%, 0, 0, 6, 2309.84
1669705663, 0, 128, 228, 155, 38, 1.99%, 0, 0, 6, 2317.35
1669705668, 0, 129, 228, 154, 58, 1.99%, 0, 0, 6, 2299.77
1669705673, 0, 130, 231, 156, 58, 1.99%, 0, 0, 6, 2293.53
1669705678, 0, 130, 235, 160, 58, 1.99%, 0, 0, 6, 2298.15
1669705683, 0, 130, 236, 161, 58, 1.99%, 0, 0, 6, 2296.47
1669705688, 0, 132, 237, 161, 57, 1.99%, 0, 0, 6, 2286.86
1669705693, 0, 138, 240, 160, 56, 2.11%, 0, 0, 6, 2285.37
1669705699, 0, 146, 243, 161, 56, 2.12%, 0, 0, 6, 2296.97
1669705704, 0, 153, 250, 167, 56, 2.12%, 0, 0, 6, 2292.48
1669705709, 0, 153, 252, 169, 56, 2.12%, 0, 0, 6, 2263.00
1669705714, 0, 153, 254, 171, 56, 2.12%, 0, 0, 6, 2275.34
1669705719, 0, 154, 258, 174, 57, 2.15%, 0, 0, 6, 2308.80
1669705724, 0, 163, 259, 174, 59, 2.15%, 0, 0, 6, 2317.33
1669705729, 0, 163, 262, 177, 59, 2.15%, 0, 0, 6, 2285.56
1669705734, 0, 163, 265, 180, 59, 2.15%, 0, 0, 6, 2273.77
1669705739, 0, 163, 266, 181, 59, 2.15%, 0, 0, 6, 2271.15
1669705744, 0, 164, 267, 181, 58, 2.16%, 0, 0, 6, 2183.82
1669705750, 0, 165, 268, 181, 58, 2.16%, 0, 0, 6, 2168.20
1669705755, 0, 166, 272, 184, 57, 2.17%, 0, 0, 6, 2278.80
1669705760, 0, 167, 273, 184, 60, 2.18%, 0, 0, 6, 2367.33
1669705765, 0, 167, 274, 185, 60, 2.18%, 0, 0, 6, 2346.32
1669705770, 0, 168, 274, 184, 61, 2.18%, 0, 0, 6, 2391.72
1669705775, 0, 169, 275, 184, 60, 2.19%, 0, 0, 6, 2357.17
1669705780, 0, 170, 276, 184, 61, 2.20%, 0, 0, 6, 2229.12
1669705785, 0, 171, 276, 183, 60, 2.20%, 0, 0, 6, 2198.84
1669705790, 0, 173, 276, 181, 58, 2.20%, 0, 0, 6, 2229.32
1669705795, 0, 173, 277, 182, 58, 2.21%, 0, 0, 6, 2292.20
1669705800, 0, 174, 278, 182, 58, 2.22%, 0, 0, 6, 2300.27
1669705805, 0, 175, 280, 183, 58, 2.23%, 0, 0, 6, 2299.20
1669705811, 0, 176, 282, 184, 59, 2.24%, 0, 0, 7, 2276.95
1669705816, 0, 177, 282, 183, 59, 2.24%, 0, 0, 7, 2268.44
1669705821, 0, 179, 282, 182, 58, 2.24%, 0, 0, 7, 2270.69
1669705826, 0, 181, 282, 181, 57, 2.24%, 0, 0, 7, 2291.60
1669705831, 0, 186, 283, 181, 56, 2.24%, 0, 0, 7, 2242.20
