# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
1669735921, 0, 0, 1, 1, 1, 4.27%, 0, 0, 1, 6.51
1669735926, 0, 0, 9, 9, 1, 4.55%, 0, 0, 2, 3.98
1669735937, 0, 0, 10, 10, 1, 4.64%, 0, 0, 2, 6.46
1669735942, 0, 0, 12, 12, 1, 4.76%, 0, 0, 2, 7.07
1669735957, 0, 0, 14, 14, 1, 4.76%, 0, 0, 2, 7.52
1669735963, 0, 0, 23, 23, 1, 4.82%, 0, 0, 2, 8.16
1669735973, 0, 0, 27, 27, 1, 4.82%, 0, 0, 2, 8.02
1669735978, 0, 0, 36, 36, 1, 4.94%, 0, 0, 2, 7.88
1669736004, 0, 0, 37, 37, 1, 4.94%, 0, 0, 2, 5.91
1669736045, 0, 0, 38, 38, 1, 4.94%, 0, 0, 2, 6.94
1669736112, 0, 0, 40, 40, 1, 4.94%, 0, 0, 2, 8.19
1669736117, 0, 0, 43, 43, 1, 4.94%, 0, 0, 2, 8.16
1669736127, 0, 0, 46, 46, 1, 4.94%, 0, 0, 2, 7.99
1669736142, 0, 0, 48, 48, 1, 4.94%, 0, 0, 2, 8.13
1669736148, 0, 0, 50, 50, 1, 4.94%, 0, 0, 2, 8.13
1669736179, 0, 0, 51, 51, 1, 4.94%, 0, 0, 2, 9.10
1669736184, 0, 0, 53, 53, 1, 4.94%, 0, 0, 2, 9.00
1669736189, 0, 0, 54, 54, 1, 4.94%, 0, 0, 2, 8.81
1669736523, 0, 0, 59, 59, 1, 4.95%, 0, 0, 2, 8.56
1669736528, 0, 0, 62, 62, 1, 4.95%, 0, 0, 2, 8.48
1669736538, 0, 0, 64, 64, 1, 4.95%, 0, 0, 2, 8.19
1669736549, 0, 0, 66, 66, 1, 4.95%, 0, 0, 2, 7.89
1669736554, 0, 0, 67, 67, 1, 4.96%, 0, 0, 2, 8.56
1669736559, 0, 0, 71, 71, 1, 4.97%, 0, 0, 2, 8.80
1669736564, 0, 0, 75, 75, 1, 4.97%, 0, 0, 2, 8.80
1669736569, 0, 0, 79, 79, 1, 4.99%, 0, 0, 2, 8.64
1669736574, 0, 0, 82, 82, 1, 4.99%, 0, 0, 2, 8.55
1669736579, 0, 0, 83, 83, 1, 4.99%, 0, 0, 2, 8.46
1669736585, 0, 0, 85, 85, 1, 4.99%, 0, 0, 2, 8.49
1669736595, 0, 0, 87, 87, 1, 4.99%, 0, 0, 2, 8.81
1669736600, 0, 0, 88, 88, 1, 4.99%, 0, 0, 2, 8.93
1669736605, 0, 0, 89, 89, 1, 4.99%, 0, 0, 2, 9.11
1669736610, 0, 0, 90, 90, 1, 4.99%, 0, 0, 2, 9.15
1669736620, 0, 0, 91, 91, 1, 4.99%, 0, 0, 2, 9.00
1669736631, 0, 0, 92, 92, 1, 4.99%, 0, 0, 2, 8.86
1669736636, 0, 0, 93, 93, 1, 4.99%, 0, 0, 2, 8.91
1669736641, 0, 0, 94, 94, 1, 5.00%, 0, 0, 2, 8.72
1669736646, 0, 0, 98, 98, 1, 5.00%, 0, 0, 2, 8.55
1669736651, 0, 0, 100, 100, 1, 5.00%, 0, 0, 2, 8.40
1669736672, 0, 0, 102, 102, 1, 5.00%, 0, 0, 2, 8.04
1669736677, 0, 0, 103, 103, 1, 5.00%, 0, 0, 2, 8.51
1669736687, 0, 0, 105, 105, 1, 5.00%, 0, 0, 2, 9.01
1669736697, 0, 0, 106, 106, 1, 5.00%, 0, 0, 2, 9.43
1669736723, 0, 0, 107, 107, 1, 5.00%, 0, 0, 2, 8.71
1669736733, 0, 0, 108, 108, 1, 5.00%, 0, 0, 2, 6.56
1669736738, 0, 0, 110, 110, 1, 5.00%, 0, 0, 2, 6.75
1669736754, 0, 0, 111, 111, 1, 5.00%, 0, 0, 2, 6.02
1669736759, 0, 0, 112, 112, 1, 5.00%, 0, 0, 2, 7.24
1669736769, 0, 0, 113, 113, 1, 5.00%, 0, 0, 2, 8.17
1669736826, 0, 0, 115, 115, 1, 5.01%, 0, 0, 2, 9.51
1669736836, 0, 0, 118, 118, 1, 5.01%, 0, 0, 2, 9.56
1669736892, 0, 0, 119, 119, 1, 5.01%, 0, 0, 2, 8.60
1669736897, 0, 0, 120, 120, 1, 5.01%, 0, 0, 2, 8.32
1669736902, 0, 0, 122, 122, 1, 5.01%, 0, 0, 2, 8.37
1669736907, 0, 0, 123, 123, 1, 5.01%, 0, 0, 2, 8.32
1669736922, 0, 0, 124, 124, 1, 5.02%, 0, 0, 2, 8.45
1669736927, 0, 0, 126, 126, 1, 5.09%, 0, 0, 2, 8.56
1669736938, 0, 0, 128, 128, 1, 5.10%, 0, 0, 2, 8.99
1669736943, 0, 0, 129, 129, 1, 5.10%, 0, 0, 2, 9.18
1669736953, 0, 0, 131, 131, 1, 5.13%, 0, 0, 2, 9.32
1669736958, 0, 0, 132, 132, 1, 5.13%, 0, 0, 2, 9.44
1669736973, 0, 0, 133, 133, 1, 5.15%, 0, 0, 2, 9.43
1669736978, 0, 0, 137, 137, 1, 5.16%, 0, 0, 2, 9.34
1669736999, 0, 0, 138, 138, 1, 5.16%, 0, 0, 2, 9.04
1669737004, 0, 0, 139, 139, 1, 5.16%, 0, 0, 2, 8.95
1669737014, 0, 0, 142, 142, 1, 5.16%, 0, 0, 2, 8.75
1669737024, 0, 0, 143, 143, 1, 5.16%, 0, 0, 2, 8.52
1669737030, 0, 0, 144, 144, 1, 5.17%, 0, 0, 2, 8.44
1669737040, 0, 0, 145, 145, 1, 5.18%, 0, 0, 2, 8.25
1669737060, 0, 0, 148, 148, 1, 5.21%, 0, 0, 2, 8.93
1669737071, 0, 0, 149, 149, 1, 5.22%, 0, 0, 2, 9.27
1669737086, 0, 0, 150, 150, 1, 5.22%, 0, 0, 2, 9.59
1669737101, 0, 0, 152, 152, 1, 5.22%, 0, 0, 2, 9.53
1669737126, 0, 0, 154, 154, 1, 5.23%, 0, 0, 2, 9.34
1669737132, 0, 0, 157, 157, 1, 5.24%, 0, 0, 2, 9.22
1669737137, 0, 0, 161, 161, 1, 5.27%, 0, 0, 2, 9.14
1669737142, 0, 0, 163, 163, 1, 5.27%, 0, 0, 2, 8.95
1669737157, 0, 0, 164, 164, 1, 5.27%, 0, 0, 2, 8.73
1669737162, 0, 0, 165, 165, 1, 5.27%, 0, 0, 2, 8.58
1669737188, 0, 0, 166, 166, 1, 5.27%, 0, 0, 2, 8.43
1669737208, 0, 0, 167, 167, 1, 5.27%, 0, 0, 2, 6.68
1669737213, 0, 0, 168, 168, 1, 5.27%, 0, 0, 2, 6.90
1669737239, 0, 0, 169, 169, 1, 5.27%, 0, 0, 2, 8.13
1669737245, 0, 0, 170, 170, 1, 5.27%, 0, 0, 2, 7.69
1669737265, 0, 0, 171, 171, 1, 5.28%, 0, 0, 2, 8.10
1669737291, 0, 0, 172, 172, 1, 5.28%, 0, 0, 2, 8.76
1669737317, 0, 0, 173, 173, 1, 5.28%, 0, 0, 2, 9.09
1669737414, 0, 0, 174, 174, 1, 5.28%, 0, 0, 2, 7.88
1669737420, 0, 0, 175, 175, 1, 5.29%, 0, 0, 2, 8.09
1669737466, 0, 0, 176, 176, 1, 5.29%, 0, 0, 2, 8.47
1669737876, 0, 0, 178, 178, 1, 5.29%, 0, 0, 2, 6.44
1669738371, 0, 0, 179, 179, 1, 5.29%, 0, 0, 2, 6.40
1669738397, 0, 0, 180, 180, 1, 5.29%, 0, 0, 2, 7.41
1669738577, 0, 0, 181, 181, 1, 5.29%, 0, 0, 2, 8.30
1669739257, 0, 0, 182, 182, 1, 5.29%, 0, 0, 2, 7.48
1669739500, 0, 0, 183, 183, 1, 5.30%, 0, 0, 2, 6.78
1669739798, 0, 0, 184, 184, 1, 5.30%, 0, 0, 2, 8.13
1669739803, 0, 0, 186, 186, 1, 5.30%, 0, 0, 2, 9.04
1669739808, 0, 0, 189, 189, 1, 5.31%, 0, 0, 2, 8.88
1669739813, 0, 0, 192, 192, 1, 5.32%, 0, 0, 2, 8.32
1669739818, 0, 0, 197, 197, 1, 5.34%, 0, 0, 2, 8.16
1669739824, 0, 0, 200, 200, 1, 5.34%, 0, 0, 2, 7.98
1669739829, 0, 0, 201, 201, 1, 5.34%, 0, 0, 2, 7.88
1669739834, 0, 0, 202, 202, 1, 5.34%, 0, 0, 2, 7.76
1669739844, 0, 0, 203, 203, 1, 5.34%, 0, 0, 2, 7.68
1669739855, 0, 0, 207, 207, 1, 5.34%, 0, 0, 2, 7.34
1669739860, 0, 0, 208, 208, 1, 5.34%, 0, 0, 2, 7.31
1669739875, 0, 0, 209, 209, 1, 5.34%, 0, 0, 2, 7.02
1669739885, 0, 0, 211, 211, 1, 5.34%, 0, 0, 2, 6.92
1669739891, 0, 0, 215, 215, 1, 5.34%, 0, 0, 2, 6.93
1669739896, 0, 0, 217, 217, 1, 5.34%, 0, 0, 2, 6.39
1669739906, 0, 0, 218, 218, 1, 5.34%, 0, 0, 2, 7.01
1669739926, 0, 0, 219, 219, 1, 5.34%, 0, 0, 2, 6.79
1669739942, 0, 0, 220, 220, 1, 5.34%, 0, 0, 2, 6.94
1669739952, 0, 0, 222, 222, 1, 5.34%, 0, 0, 2, 7.00
1669739958, 0, 0, 224, 224, 1, 5.34%, 0, 0, 2, 6.91
1669739963, 0, 0, 227, 227, 1, 5.34%, 0, 0, 2, 6.94
