# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
1669808436, 0, 0, 1, 1, 1, 2.13%, 0, 0, 1, 131.15
1669808441, 0, 0, 15, 15, 1, 2.30%, 0, 0, 2, 43.01
1669808446, 0, 0, 53, 53, 1, 2.92%, 0, 0, 2, 121.89
1669808451, 0, 0, 82, 82, 1, 3.28%, 0, 0, 2, 106.85
1669808456, 0, 0, 86, 86, 1, 3.33%, 0, 0, 2, 113.20
1669808461, 0, 0, 109, 109, 1, 3.61%, 0, 0, 2, 115.72
1669808466, 0, 0, 117, 117, 1, 3.63%, 0, 0, 2, 113.72
1669808471, 0, 0, 122, 122, 1, 3.64%, 0, 0, 2, 119.46
1669808481, 0, 0, 124, 124, 1, 3.64%, 0, 0, 2, 101.22
1669808487, 0, 0, 126, 126, 1, 3.64%, 0, 0, 2, 93.39
1669808497, 0, 0, 137, 137, 1, 3.69%, 0, 0, 2, 99.66
1669808502, 0, 0, 151, 151, 1, 3.79%, 0, 0, 2, 97.75
1669808507, 0, 0, 163, 163, 1, 3.81%, 0, 0, 2, 107.16
1669808512, 0, 0, 192, 192, 1, 3.85%, 0, 0, 2, 121.68
1669808517, 0, 0, 206, 206, 1, 3.85%, 0, 0, 2, 116.78
1669808522, 0, 0, 209, 209, 1, 3.85%, 0, 0, 2, 121.03
1669808528, 0, 0, 210, 210, 1, 3.85%, 0, 0, 2, 128.63
1669808538, 0, 0, 220, 220, 1, 3.90%, 0, 0, 2, 130.02
1669808548, 0, 0, 221, 221, 1, 3.90%, 0, 0, 2, 132.31
1669808554, 0, 0, 225, 225, 1, 3.91%, 0, 0, 2, 131.38
1669808692, 0, 0, 226, 226, 1, 3.91%, 0, 0, 2, 122.63
1669808780, 0, 0, 231, 231, 1, 3.91%, 0, 0, 2, 128.93
1669808790, 0, 0, 232, 232, 1, 3.91%, 0, 0, 2, 133.08
1669808795, 0, 0, 233, 233, 1, 3.91%, 0, 0, 2, 134.30
1669808801, 0, 0, 234, 234, 1, 3.91%, 0, 0, 2, 124.41
1669808867, 0, 0, 235, 235, 1, 3.91%, 0, 0, 2, 123.20
1669808892, 0, 0, 236, 236, 1, 3.91%, 0, 0, 2, 114.65
1669808903, 0, 0, 237, 237, 1, 3.92%, 0, 0, 2, 126.67
1669808913, 0, 0, 264, 264, 1, 3.96%, 0, 0, 2, 114.55
1669808918, 0, 0, 276, 276, 1, 3.97%, 0, 0, 2, 111.41
1669808923, 0, 0, 282, 282, 1, 3.97%, 0, 0, 2, 117.51
1669808928, 0, 0, 293, 293, 1, 3.99%, 0, 0, 2, 120.77
1669811479, 0, 0, 299, 299, 1, 4.01%, 0, 0, 2, 156.76
1669811484, 0, 0, 303, 303, 1, 4.02%, 0, 0, 2, 161.69
1669811489, 0, 0, 307, 307, 1, 4.03%, 0, 0, 2, 163.62
