# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
1669802280, 0, 0, 1, 1, 1, 0.54%, 0, 0, 1, 1600.00
1669802285, 0, 0, 17, 17, 1, 0.68%, 0, 0, 2, 2078.33
1669802290, 0, 0, 21, 21, 1, 0.69%, 0, 0, 2, 2154.75
1669802295, 0, 0, 22, 22, 1, 0.69%, 0, 0, 2, 2183.41
1669802300, 0, 1, 29, 28, 14, 0.75%, 0, 0, 3, 2210.62
1669802305, 0, 1, 33, 32, 14, 1.02%, 0, 0, 3, 2219.31
1669802310, 0, 1, 34, 33, 14, 1.02%, 0, 0, 3, 2215.27
1669802316, 0, 8, 37, 32, 19, 1.05%, 0, 0, 3, 2230.04
1669802321, 0, 10, 39, 33, 18, 1.06%, 0, 0, 3, 2266.63
1669802326, 0, 10, 42, 36, 18, 1.12%, 0, 0, 3, 2238.22
1669802331, 0, 10, 45, 39, 18, 1.13%, 0, 0, 3, 2222.06
1669802336, 0, 11, 47, 40, 20, 1.14%, 0, 0, 3, 2234.58
1669802341, 0, 15, 47, 39, 19, 1.14%, 0, 0, 3, 2340.59
1669802346, 0, 20, 52, 42, 17, 1.17%, 0, 0, 3, 2271.64
1669802351, 0, 20, 55, 45, 17, 1.17%, 0, 0, 3, 2240.89
1669802356, 0, 20, 57, 47, 17, 1.18%, 0, 0, 3, 2239.60
1669802361, 0, 22, 58, 46, 22, 1.18%, 0, 0, 3, 2242.73
1669802366, 0, 31, 59, 43, 18, 1.18%, 0, 0, 4, 2327.30
1669802371, 0, 35, 65, 46, 22, 1.22%, 0, 0, 4, 2148.42
1669802376, 0, 36, 73, 53, 21, 1.24%, 0, 0, 4, 2122.25
1669802382, 0, 36, 78, 58, 21, 1.24%, 0, 0, 4, 2181.00
1669802387, 0, 36, 80, 60, 21, 1.24%, 0, 0, 4, 2183.55
1669802392, 0, 39, 88, 66, 27, 1.34%, 0, 0, 4, 2211.90
1669802397, 0, 39, 99, 77, 27, 1.34%, 0, 0, 4, 2209.49
1669802402, 0, 39, 104, 82, 27, 1.38%, 0, 0, 4, 2170.61
1669802407, 0, 41, 108, 85, 34, 1.39%, 0, 0, 4, 2166.63
1669802412, 0, 41, 118, 95, 34, 1.39%, 0, 0, 4, 2243.23
1669802417, 0, 41, 119, 96, 34, 1.39%, 0, 0, 4, 2246.78
1669802428, 0, 44, 124, 99, 34, 1.40%, 0, 0, 4, 2257.39
1669802433, 0, 47, 126, 99, 36, 1.41%, 0, 0, 4, 2297.96
1669802438, 0, 52, 126, 97, 34, 1.41%, 0, 0, 4, 2336.82
1669802443, 0, 54, 126, 96, 33, 1.41%, 0, 0, 4, 2355.81
1669802448, 0, 55, 126, 95, 32, 1.41%, 0, 0, 4, 2351.85
1669802453, 0, 58, 126, 93, 30, 1.41%, 0, 0, 4, 2333.03
1669802458, 0, 59, 130, 96, 29, 1.42%, 0, 0, 5, 2245.20
1669802463, 0, 61, 130, 94, 30, 1.42%, 0, 0, 5, 2271.17
1669802468, 0, 64, 131, 93, 28, 1.43%, 0, 0, 5, 2244.33
