# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
1669802789, 0, 0, 5, 5, 2, 0.58%, 0, 0, 1, 1600.00
1669802794, 0, 1, 19, 19, 2, 0.71%, 0, 0, 2, 1839.00
1669802804, 0, 1, 23, 23, 2, 1.08%, 0, 0, 2, 1896.87
1669802809, 0, 6, 27, 25, 17, 1.16%, 0, 0, 3, 1889.66
1669802814, 0, 9, 28, 24, 16, 1.16%, 0, 0, 3, 1929.48
1669802819, 0, 12, 30, 24, 14, 1.16%, 0, 0, 3, 1919.64
1669802824, 0, 12, 35, 29, 14, 1.19%, 0, 0, 3, 1903.25
1669802839, 0, 13, 36, 29, 19, 1.19%, 0, 0, 3, 1971.82
1669802845, 0, 15, 41, 32, 17, 1.22%, 0, 0, 3, 1943.97
1669802850, 0, 16, 41, 31, 19, 1.22%, 0, 0, 3, 1982.46
1669802855, 0, 19, 46, 33, 17, 1.24%, 0, 0, 3, 1948.83
1669802860, 0, 20, 56, 42, 20, 1.26%, 0, 0, 3, 1906.01
1669802865, 0, 20, 59, 45, 20, 1.27%, 0, 0, 3, 1906.73
1669802875, 0, 21, 62, 47, 28, 1.28%, 0, 0, 3, 1880.36
1669802880, 0, 21, 64, 49, 28, 1.28%, 0, 0, 3, 1886.03
1669802895, 0, 23, 78, 62, 32, 1.32%, 0, 0, 3, 1866.32
1669802900, 0, 23, 81, 65, 32, 1.33%, 0, 0, 3, 1909.58
1669802905, 0, 23, 85, 69, 32, 1.33%, 0, 0, 3, 1911.02
1669802910, 0, 24, 90, 73, 39, 1.34%, 0, 0, 3, 1908.66
1669802915, 0, 31, 90, 68, 35, 1.34%, 0, 0, 3, 1920.43
1669802921, 0, 39, 103, 77, 33, 1.37%, 0, 0, 4, 1918.28
1669802926, 0, 39, 111, 85, 33, 1.38%, 0, 0, 4, 1870.50
1669802931, 0, 39, 114, 88, 33, 1.38%, 0, 0, 4, 1902.68
1669802936, 0, 39, 119, 93, 33, 1.38%, 0, 0, 4, 1906.46
