# relative_time, cycles_done, cur_item, corpus_count, pending_total, pending_favs, map_size, saved_crashes, saved_hangs, max_depth, execs_per_sec, total_execs, edges_found
60, 0, 0, 267, 267, 1, 0.03%, 0, 0, 2, 345.09, 19683, 2131
66, 0, 0, 271, 271, 1, 0.03%, 0, 0, 2, 365.26, 21557, 2133
71, 0, 0, 275, 275, 1, 0.03%, 0, 0, 2, 322.67, 23177, 2133
76, 0, 0, 281, 281, 1, 0.03%, 0, 0, 2, 310.74, 24743, 2139
81, 0, 0, 283, 283, 1, 0.03%, 0, 0, 2, 302.70, 26263, 2142
86, 0, 0, 287, 287, 1, 0.03%, 0, 0, 2, 261.69, 27648, 2143
91, 0, 0, 289, 289, 1, 0.03%, 0, 0, 2, 304.21, 29203, 2143
96, 0, 0, 292, 292, 1, 0.03%, 0, 0, 2, 314.33, 30814, 2144
101, 0, 0, 295, 295, 1, 0.03%, 0, 0, 2, 306.06, 32353, 2144
106, 0, 0, 298, 298, 1, 0.03%, 0, 0, 2, 293.22, 33790, 2144
111, 0, 0, 302, 302, 1, 0.03%, 0, 0, 2, 294.41, 35337, 2144
116, 0, 0, 323, 323, 1, 0.03%, 0, 0, 2, 311.91, 36933, 2155
122, 0, 0, 332, 332, 1, 0.03%, 0, 0, 2, 345.71, 38748, 2155
127, 0, 0, 336, 336, 1, 0.03%, 0, 0, 2, 341.28, 40552, 2155
132, 0, 183, 343, 342, 63, 0.03%, 0, 0, 2, 318.39, 42121, 2155
137, 0, 183, 346, 345, 63, 0.03%, 0, 0, 3, 326.40, 43759, 2155
142, 0, 183, 350, 349, 63, 0.03%, 0, 0, 3, 311.36, 45335, 2156
147, 0, 183, 354, 353, 63, 0.03%, 0, 0, 3, 340.43, 47085, 2157
152, 0, 183, 356, 355, 63, 0.03%, 0, 0, 3, 331.78, 48737, 2157
157, 0, 183, 361, 360, 63, 0.03%, 0, 0, 3, 364.09, 50660, 2158
162, 0, 183, 363, 362, 63, 0.03%, 0, 0, 3, 357.68, 52452, 2158
167, 0, 183, 364, 363, 63, 0.03%, 0, 0, 3, 373.67, 54314, 2158
172, 0, 183, 369, 368, 63, 0.03%, 0, 0, 3, 365.21, 56169, 2159
177, 0, 183, 371, 370, 63, 0.03%, 0, 0, 3, 335.24, 57788, 2159
182, 0, 183, 374, 373, 63, 0.03%, 0, 0, 3, 341.48, 59519, 2160
187, 0, 183, 376, 375, 63, 0.03%, 0, 0, 3, 315.40, 61063, 2160
193, 0, 183, 377, 376, 63, 0.03%, 0, 0, 3, 327.53, 62738, 2160
198, 0, 183, 381, 380, 63, 0.03%, 0, 0, 3, 327.04, 64392, 2160
203, 0, 183, 382, 381, 63, 0.03%, 0, 0, 3, 342.81, 66163, 2160
208, 0, 183, 383, 382, 63, 0.03%, 0, 0, 3, 341.37, 67916, 2160
213, 0, 183, 385, 384, 63, 0.03%, 0, 0, 3, 344.99, 69719, 2160
218, 0, 183, 388, 387, 63, 0.03%, 0, 0, 3, 348.87, 71485, 2160
223, 0, 183, 390, 389, 63, 0.03%, 0, 0, 3, 332.87, 73179, 2160
229, 0, 183, 392, 391, 63, 0.03%, 0, 0, 3, 318.92, 74849, 2162
234, 0, 183, 400, 399, 63, 0.03%, 0, 0, 3, 304.89, 76385, 2162
239, 0, 183, 410, 409, 63, 0.03%, 0, 0, 3, 302.64, 77859, 2162
244, 0, 183, 414, 413, 63, 0.03%, 0, 0, 3, 293.26, 79373, 2189
249, 0, 183, 417, 416, 63, 0.03%, 0, 0, 3, 256.42, 80665, 2189
254, 0, 225, 422, 420, 71, 0.03%, 0, 0, 3, 275.24, 82099, 2191
259, 0, 225, 424, 422, 71, 0.03%, 0, 0, 3, 274.97, 83507, 2191
264, 0, 225, 427, 425, 71, 0.03%, 0, 0, 3, 277.75, 84973, 2191
269, 0, 225, 428, 426, 71, 0.03%, 0, 0, 3, 236.46, 86143, 2191
275, 0, 225, 431, 429, 71, 0.03%, 0, 0, 3, 265.88, 87556, 2191
280, 0, 225, 432, 430, 71, 0.03%, 0, 0, 3, 272.13, 88938, 2191
285, 0, 225, 434, 432, 71, 0.03%, 0, 0, 3, 273.76, 90342, 2192
290, 0, 225, 435, 433, 71, 0.03%, 0, 0, 3, 275.21, 91714, 2192
295, 0, 225, 437, 435, 71, 0.03%, 0, 0, 3, 279.84, 93123, 2236
300, 0, 225, 437, 435, 71, 0.03%, 0, 0, 3, 290.19, 94643, 2236
305, 0, 225, 438, 436, 71, 0.03%, 0, 0, 3, 290.42, 96145, 2236
310, 0, 225, 440, 438, 71, 0.03%, 0, 0, 3, 294.09, 97629, 2236
315, 0, 225, 441, 439, 71, 0.03%, 0, 0, 3, 293.17, 99111, 2236
320, 0, 225, 442, 440, 71, 0.03%, 0, 0, 3, 287.18, 100593, 2236
326, 0, 225, 443, 441, 71, 0.03%, 0, 0, 3, 285.52, 102045, 2236
331, 0, 225, 445, 443, 71, 0.03%, 0, 0, 3, 286.72, 103534, 2237
336, 0, 225, 446, 444, 71, 0.03%, 0, 0, 3, 293.69, 105065, 2237
341, 0, 225, 449, 447, 71, 0.03%, 0, 0, 3, 296.00, 106607, 2264
346, 0, 225, 449, 447, 71, 0.03%, 0, 0, 3, 296.10, 108132, 2264
351, 0, 225, 450, 448, 71, 0.03%, 0, 0, 3, 294.74, 109649, 2264
357, 0, 225, 450, 448, 71, 0.03%, 0, 0, 3, 298.18, 111194, 2264
362, 0, 225, 451, 449, 71, 0.03%, 0, 0, 3, 298.99, 112731, 2264
367, 0, 225, 452, 450, 71, 0.03%, 0, 0, 3, 296.30, 114248, 2264
372, 0, 225, 455, 453, 71, 0.03%, 0, 0, 3, 297.21, 115799, 2265
377, 0, 362, 460, 457, 71, 0.03%, 0, 0, 3, 297.30, 117302, 2265
382, 0, 362, 462, 459, 71, 0.03%, 0, 0, 4, 297.15, 118827, 2265
388, 0, 362, 466, 463, 71, 0.03%, 0, 0, 4, 300.08, 120385, 2265
393, 0, 362, 466, 463, 71, 0.03%, 0, 0, 4, 303.64, 121912, 2265
398, 0, 362, 467, 464, 71, 0.03%, 0, 0, 4, 304.80, 123437, 2265
403, 0, 362, 470, 467, 71, 0.03%, 0, 0, 4, 304.64, 124982, 2268
408, 0, 362, 471, 468, 71, 0.03%, 0, 0, 4, 305.04, 126501, 2268
413, 0, 362, 474, 471, 71, 0.03%, 0, 0, 4, 305.15, 128046, 2268
418, 0, 362, 476, 473, 71, 0.03%, 0, 0, 4, 302.42, 129578, 2280
423, 0, 362, 477, 474, 71, 0.03%, 0, 0, 4, 301.36, 131139, 2281
428, 0, 362, 477, 474, 71, 0.03%, 0, 0, 4, 303.98, 132681, 2281
433, 0, 362, 477, 474, 71, 0.03%, 0, 0, 4, 296.64, 134152, 2281
438, 0, 362, 478, 475, 71, 0.03%, 0, 0, 4, 265.94, 135434, 2283
443, 0, 362, 478, 475, 71, 0.03%, 0, 0, 4, 239.42, 136580, 2283
448, 0, 362, 480, 477, 71, 0.03%, 0, 0, 4, 268.51, 137938, 2285
