# relative_time, cycles_done, cur_item, corpus_count, pending_total, pending_favs, map_size, saved_crashes, saved_hangs, max_depth, execs_per_sec, total_execs, edges_found
61, 0, 0, 1123, 1123, 2, 7.17%, 1, 0, 2, 806.34, 50216, 4702
66, 0, 681, 1145, 1144, 267, 7.19%, 1, 0, 2, 813.50, 54273, 4710
71, 0, 681, 1167, 1166, 267, 7.25%, 1, 0, 3, 882.44, 58918, 4753
76, 0, 681, 1187, 1186, 267, 7.26%, 1, 0, 3, 883.09, 63410, 4759
81, 0, 681, 1201, 1200, 267, 7.28%, 1, 0, 3, 895.49, 67928, 4773
86, 0, 681, 1211, 1210, 267, 7.28%, 1, 0, 3, 904.06, 72453, 4773
91, 0, 681, 1222, 1221, 267, 7.29%, 1, 0, 3, 849.68, 76779, 4775
96, 0, 681, 1231, 1230, 267, 7.29%, 1, 0, 3, 867.65, 81160, 4778
101, 0, 681, 1239, 1238, 267, 7.30%, 1, 0, 3, 878.06, 85653, 4782
106, 0, 1178, 1250, 1248, 275, 7.30%, 1, 0, 3, 800.52, 89744, 4782
111, 0, 756, 1260, 1257, 274, 7.30%, 1, 0, 4, 815.57, 93838, 4782
116, 0, 756, 1268, 1265, 274, 7.30%, 1, 0, 4, 850.29, 98155, 4784
121, 0, 756, 1273, 1270, 274, 7.30%, 1, 0, 4, 883.12, 102627, 4785
127, 0, 756, 1279, 1276, 274, 7.31%, 1, 0, 4, 889.87, 107191, 4792
132, 0, 756, 1283, 1280, 274, 7.31%, 1, 0, 4, 890.91, 111809, 4792
137, 0, 756, 1292, 1289, 274, 7.32%, 1, 0, 4, 884.28, 116377, 4794
142, 0, 756, 1296, 1293, 274, 7.32%, 1, 0, 4, 902.88, 121055, 4795
147, 0, 756, 1301, 1298, 274, 7.32%, 1, 0, 4, 888.70, 125501, 4796
152, 0, 756, 1332, 1329, 274, 7.33%, 1, 0, 4, 853.77, 129752, 4801
157, 0, 1333, 1341, 1337, 287, 7.33%, 1, 0, 4, 829.67, 133914, 4801
162, 0, 1333, 1355, 1351, 287, 7.33%, 1, 0, 4, 832.28, 138044, 4803
167, 0, 1333, 1365, 1361, 287, 7.33%, 1, 0, 4, 845.91, 142466, 4805
173, 0, 1333, 1371, 1367, 287, 7.34%, 1, 0, 4, 797.94, 146556, 4808
178, 0, 1333, 1377, 1373, 287, 7.34%, 1, 0, 4, 817.55, 150822, 4811
183, 0, 1333, 1383, 1379, 287, 7.34%, 1, 0, 4, 805.79, 155056, 4811
188, 0, 1333, 1391, 1387, 287, 7.34%, 1, 0, 4, 809.72, 159224, 4811
