,0path-afl,0path-aflfun,0path-aflfun_only_cp,0path-aflfun_only_fd,1crash-afl,1crash-aflfun,1crash-aflfun_only_cp,1crash-aflfun_only_fd,2exec-afl,2exec-aflfun,2exec-aflfun_only_cp,2exec-aflfun_only_fd
xmllint,4891.9,4362.8,4158.1,4284.1,0,103.9,87.6,109.6,67093356.44,58939161.7,58419285.75,58057328.9
swftophp,8110.7,3983.3,4079.3,3954.2,697,564.5,576.9,559.9,134827160.9,63705696.22,68345280.96,68629943.49
mjs,4570.7,2882,2899.5,2886.4,109.9,243.7,245.9,234.2,106239001.1,81868110.84,90740328.27,91313953.99
jasper,1662.3,959.7,949.1,916.9,0,38.5,38.1,37.6,71156884.63,63093021.95,63747393.31,60871263.87
imginfo,1776.5,965.2,1028.1,1025.6,0,53,58,70.3,43763862.17,58353201.11,59506529.8,66955195
tiff2bw,2712.4,1713.5,1858.5,1826.8,0,3.4,6.1,3.5,95408134.32,67897793.49,80651943.78,73900111.03
tiff2pdf,4572.7,2902.7,2979.2,2803.3,0,93,90.1,85.8,65440283.76,61004460.12,59045570.65,53198093.67
tiffsplit,2429.1,1687.9,1524.5,1692,0,1.2,2.9,0.9,64683006,63268353.97,49329775.52,63010146.54
mujs,3893.9,4206.5,4156.1,4119.8,0,2.8,3.3,2.8,52433826.72,55131540.3,54683140.89,53059282.36
pdfimages,220.4,152.9,156.4,165.8,0,1.1,3.9,1.8,19292590.35,15980873.05,17842916.61,16976559.46
